graph,w,fly,cond,active,MN9_L,MN9_R,DNp01,DNa_L,DNa_R,DNa02_L,DNa02_R,headDN,wall_ms
malecns_all,0.152,5,sugar80_bitter,10013.333333333334,0.0,0.0,0.0,0.5555,0.0,1.111,0.0,5.1110999999999995,1670.4364013671875
malecns_all,0.152,5,sugar100_bitter,6619.333333333333,0.0,0.0,0.0,0.5555,0.0,1.111,0.0,1.4445,1297.2803955078125
malecns_all,0.152,5,loom,3195.0,0.0,0.0,387.778,0.0,0.5555,0.0,0.0,0.0,3170.8458251953125
malecns_all,0.152,5,loomL,2145.3333333333335,0.0,0.0,254.44449999999998,0.0,23.889,0.0,0.0,0.0,2528.342529296875
malecns_all,0.152,5,loomR,2295.0,0.0,0.0,275.0,1.6665,0.0,0.0,0.0,0.0,2826.3115844726562
malecns_all,0.152,5,lc10L,1117.6666666666667,0.0,0.0,0.0,80.5555,0.0,160.0,0.0,0.4444,1796.8720092773438
malecns_all,0.152,5,lc10R,1264.6666666666667,1.111,0.0,0.0,0.0,81.6665,0.0,160.0,1.2222,2218.3558349609375
malecns_all,0.152,5,head,3514.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,174.7777,3177.8275146484375
malecns_all,0.152,1,sugar10,7.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.817700147628784
malecns_all,0.152,1,sugar20,22.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.07740020751953
malecns_all,0.152,1,sugar40,71.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.62470054626465
malecns_all,0.152,1,sugar60,108.66666666666667,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.35120010375977
malecns_all,0.152,1,sugar80,235.66666666666666,17.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.83489990234375
malecns_all,0.152,1,sugar100,396.3333333333333,48.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.48590087890625
malecns_all,0.152,1,sugar150,7775.0,134.444,7.778,0.0,1.6665,0.0,3.333,0.0,3.8888000000000007,1874.466552734375
malecns_all,0.152,1,rand0_40,7998.0,20.0,0.0,0.0,2.222,0.5555,4.444,1.111,13.3333,1879.5745582580566
malecns_all,0.152,1,rand0_80,11863.666666666666,32.222,0.0,0.0,3.3335,0.0,6.667,0.0,23.7777,3193.579345703125
malecns_all,0.152,1,rand0_150,12022.0,41.111,0.0,0.0,3.3335,0.5555,6.667,1.111,25.555500000000002,3861.2718505859375
malecns_all,0.152,1,rand1_40,9514.333333333334,21.111,0.0,0.0,0.5555,1.111,1.111,2.222,12.5555,1662.8482208251953
malecns_all,0.152,1,rand1_80,11941.666666666666,38.889,0.0,0.0,2.778,0.5555,5.556,1.111,24.7777,3488.8878173828125
malecns_all,0.152,1,rand1_150,12103.0,40.0,0.0,0.0,1.111,1.6665,2.222,3.333,24.1111,3553.1319580078125
malecns_all,0.152,1,rand2_40,7768.333333333333,20.0,0.0,0.0,1.6665,0.0,3.333,0.0,13.222100000000001,1810.038932800293
malecns_all,0.152,1,rand2_80,11864.666666666666,36.667,0.0,0.0,3.3335,0.5555,6.667,1.111,23.222199999999997,3389.8378295898438
malecns_all,0.152,1,rand2_150,12012.0,35.556,0.0,0.0,4.4445,0.0,8.889,0.0,22.0,3409.1446533203125
malecns_all,0.152,1,bitter150,11831.333333333334,0.0,0.0,0.0,1.6665,0.0,3.333,0.0,13.3333,2670.1157836914062
malecns_all,0.152,1,sugar40_bitter,11861.0,0.0,0.0,0.0,2.222,0.0,4.444,0.0,13.2222,2649.1466064453125
malecns_all,0.152,1,sugar80_bitter,11916.666666666666,0.0,0.0,0.0,2.222,0.0,4.444,0.0,12.666599999999999,2594.6463012695312
malecns_all,0.152,1,sugar100_bitter,12023.333333333334,0.0,0.0,0.0,2.778,0.0,5.556,0.0,11.555499999999999,2832.1524047851562
malecns_all,0.152,1,loom,3243.6666666666665,0.0,0.0,385.0,0.0,0.0,0.0,0.0,0.0,3102.3644409179688
malecns_all,0.152,1,loomL,2092.0,0.0,0.0,250.5555,0.0,25.5555,0.0,0.0,0.0,2389.4384765625
malecns_all,0.152,1,loomR,2266.0,0.0,0.0,277.7775,6.6665,0.0,0.0,0.0,0.0,2732.6723022460938
malecns_all,0.152,1,lc10L,1112.0,0.0,0.0,0.0,85.0,0.0,170.0,0.0,0.2222,2024.961181640625
malecns_all,0.152,1,lc10R,1235.3333333333333,1.111,0.0,0.0,0.0,81.6665,0.0,160.0,0.6667,2318.7899169921875
malecns_all,0.152,1,head,3136.6666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.77759999999998,3189.13232421875
malecns_all,0.152,0,sugar10,9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.068499088287354
malecns_all,0.152,0,sugar20,30.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.39580059051514
malecns_all,0.152,0,sugar40,85.33333333333333,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.67669677734375
malecns_all,0.152,0,sugar60,143.0,4.444,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,188.15869522094727
malecns_all,0.152,0,sugar80,268.6666666666667,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.73009490966797
malecns_all,0.152,0,sugar100,4227.0,75.556,0.0,0.0,1.111,0.0,2.222,0.0,4.8889000000000005,1433.0946044921875
malecns_all,0.152,0,sugar150,8164.666666666667,113.333,3.333,0.0,1.111,0.0,2.222,0.0,7.3332999999999995,2407.0909118652344
malecns_all,0.152,0,rand0_40,11073.333333333334,23.333,0.0,0.0,2.222,0.5555,4.444,1.111,15.8888,2105.005401611328
malecns_all,0.152,0,rand0_80,11872.0,38.889,0.0,0.0,2.778,0.5555,5.556,1.111,25.777800000000003,3552.393798828125
malecns_all,0.152,0,rand0_150,12098.333333333334,45.556,0.0,0.0,0.5555,1.111,1.111,2.222,26.7777,3757.089111328125
malecns_all,0.152,0,rand1_40,11051.666666666666,31.111,0.0,0.0,2.222,0.5555,4.444,1.111,19.3334,2455.9579467773438
malecns_all,0.152,0,rand1_80,11956.0,47.778,0.0,0.0,1.111,1.111,2.222,2.222,27.222199999999997,3622.3822021484375
malecns_all,0.152,0,rand1_150,11962.0,44.444,0.0,0.0,0.0,1.6665,0.0,3.333,25.3333,3576.2806396484375
malecns_all,0.152,0,rand2_40,7685.666666666667,30.0,0.0,0.0,0.5555,1.111,1.111,2.222,15.666599999999999,2187.783462524414
malecns_all,0.152,0,rand2_80,7446.333333333333,17.778,0.0,0.0,1.111,0.5555,2.222,1.111,11.7778,1906.0028381347656
malecns_all,0.152,0,rand2_150,11962.0,42.222,0.0,0.5555,0.5555,0.5555,1.111,1.111,25.555600000000002,3662.7933349609375
malecns_all,0.152,0,bitter150,11625.666666666666,0.0,0.0,0.0,1.6665,0.0,3.333,0.0,14.333400000000001,2588.6270141601562
malecns_all,0.152,0,sugar40_bitter,11562.666666666666,0.0,0.0,0.0,2.222,0.0,4.444,0.0,13.6667,2608.6257934570312
malecns_all,0.152,0,sugar80_bitter,11613.666666666666,0.0,0.0,0.0,1.111,0.0,2.222,0.0,11.8888,2602.7261352539062
